Region,Country,Size,Owned by,SME?,# Enterprises,Have Checking,Have Overdraft,Have Loan,Have Access to Credit,Access to finance as major/severe barrier,Does not need credit,Unserved,Underserved,Well served,Loan size - average size per revenue,Average loan duration (months),Loan rejection rate,Private Commercial Bank as Source of Financing,State-owned Bank and/or Govt. Agency as Source of Financing,Non-bank Financial Institution as Source of Financing,Other Source of Financing,Average credit value gap per enterprise,Total credit value gap,Average deposit gap per enterprise,Total deposit gap
,Malawi,Small,,,50823,100%,53%,39%,67%,46%,14%,18%,59%,8%,16%,,,89%,5%,5%,0%,10083,512471141,539,27414786
,Malawi,Medium,,,1196,100%,68%,44%,74%,34%,19%,7%,63%,11%,14%,,,88%,0%,8%,4%,92966,111171396,2692,3219607
,Malaysia,Informal,,,2186961,50%,7%,9%,11%,,48%,41%,8%,3%,,,100%,,,,,4673,10219856904,19529,42710088743
,Malaysia,Micro,,,243566,,,,,,,,,,,,,,,,,4932,1201343306,,
,Malaysia,Very Small,,,104385,97%,58%,56%,69%,7%,25%,6%,22%,47%,,,18%,,,,,0,0,0,0
,Malaysia,Small,,,80486,98%,59%,61%,75%,17%,17%,9%,33%,42%,,,7%,,,,,51758,4165819915,0,0
,Malaysia,Medium,,,10176,99%,70%,64%,83%,14%,12%,5%,35%,48%,,,3%,,,,,372397,3789507730,0,0
,Maldives,Informal,,,13345,,7%,9%,14%,,47%,40%,10%,4%,,,,,,,,5313,70900842,7438,99256201
,Maldives,Very Small,,,397,,,,,,,,,,,,,,,,,14462,5746475,14519,5769277
,Maldives,Small,,,36,,,,,,,,,,,,,,,,,41086,1489690,14195,514690
,Maldives,Medium,,,2,,,,,,,,,,,,,,,,,309451,562329,11328,20586
,Mali,Informal,,,488018,39%,7%,7%,7%,,26%,67%,5%,2%,,,,23%,0%,62%,16%,653,318906329,183,89460406
,Mali,Micro,,,115854,56%,34%,3%,34%,65%,11%,55%,26%,8%,29%,,,0%,0%,100%,0%,671,77771470,116,13459953
,Mali,Very Small,,,12873,86%,37%,15%,41%,48%,10%,49%,30%,11%,16%,,,63%,19%,19%,0%,2881,37083294,247,3184231
,Mali,Small,,,38051,88%,55%,22%,57%,46%,11%,32%,43%,14%,8%,,,80%,10%,10%,0%,14126,537517855,756,28754667
,Mali,Medium,,,10396,96%,62%,27%,62%,35%,13%,26%,42%,19%,,,,86%,14%,0%,0%,40113,417031991,1162,12077558
,Mauritania,Informal,,,104540,32%,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,1132,118357875,551,57630197
,Mauritania,Micro,,,28964,,,,,,,,,,,,,,,,,2126,61564921,368,10655076
,Mauritania,Very Small,,,3218,64%,4%,8%,10%,39%,8%,82%,8%,2%,11%,18.28,73%,63%,12%,25%,0%,8914,28687039,1185,3813993
,Mauritania,Small,,,9513,90%,31%,21%,35%,54%,11%,54%,28%,7%,16%,23.56,46%,89%,6%,6%,0%,19163,182297024,808,7685158
,Mauritania,Medium,,,2599,,,,,,,,,,,,,,,,,262074,681163779,7590,19727011
,Mauritius,Informal,,,57567,72%,14%,14%,14%,49%,59%,27%,12%,2%,,,,,,,,992,57108651,270,15532802
,Mauritius,Micro,,,61948,94%,39%,38%,56%,47%,34%,9%,47%,9%,27%,63.6,20%,67%,33%,0%,0%,1581,97938866,274,16950336
,Mauritius,Very Small,,,6883,97%,50%,47%,67%,61%,23%,10%,56%,11%,20%,47.65,19%,83%,9%,6%,2%,9998,68818485,859,5909236
,Mauritius,Small,,,3989,96%,62%,52%,74%,36%,19%,7%,54%,20%,15%,40.26,25%,88%,4%,5%,4%,32884,131182574,1759,7017648
,Mauritius,Medium,,,1090,98%,86%,61%,89%,31%,10%,1%,58%,31%,11%,30.21,6%,92%,4%,4%,0%,163599,178315765,4738,5164158
,Mexico,Informal,,,7476356,18%,12%,13%,13%,,47%,40%,9%,4%,,,,,,,,3150,23552321463,877,6555312403
,Mexico,Micro,,,3017901,,,,,,,,,,,,,,,,,8701,26258262530,171,516636978
,Mexico,Very Small,,,532571,38%,10%,8%,15%,18%,59%,27%,9%,6%,19%,19.23,21%,90%,10%,0%,0%,7278,3876136212,2190,1166414558
,Mexico,Small,,,147435,56%,15%,12%,22%,22%,51%,27%,16%,6%,8%,19.31,24%,87%,5%,5%,3%,33037,4870797235,6146,906099580
,Mexico,Medium,,,30142,69%,32%,13%,37%,16%,49%,14%,29%,9%,10%,24.08,5%,98%,0%,2%,0%,166563,5020553848,29060,875937027
,Micronesia,Informal,,,8222,50%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,2387,19623983,8229,67659859
,Micronesia,Micro,,,929,,,,,,,,,,,,,,,,,6492,6034288,,
,Micronesia,Very Small,,,398,100%,0%,24%,24%,33%,28%,48%,17%,7%,27%,,,47%,32%,0%,21%,9470,3771999,0,0
,Micronesia,Small,,,122,97%,24%,58%,71%,20%,15%,15%,43%,27%,20%,,,73%,21%,0%,6%,12042,1465596,3279,399080
,Micronesia,Medium,,,4,,,,,,,,,,,,,,,,,328096,1227330,149738,560135
,Moldova,Informal,,,23600,45%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,1687,39808756,1668,39354903
,Moldova,Micro,,,24880,,,,,,,,,,,,,,,,,960,23875807,586,14588822
,Norway,Medium,,,2610,,,,,,,,,,,,,,,,,,,,
,Moldova,Very Small,,,6220,89%,22%,40%,46%,29%,32%,23%,30%,16%,27%,,21%,78%,22%,0%,0%,7690,47834595,1696,10547068
,Moldova,Small,,,8300,92%,30%,46%,52%,37%,25%,23%,42%,10%,17%,,17%,85%,10%,5%,0%,30270,251243324,4584,38047332
,Moldova,Medium,,,1700,91%,39%,55%,61%,44%,17%,21%,45%,16%,11%,,19%,89%,8%,2%,2%,127826,217304425,20492,34836509
,Mongolia,Informal,,,213763,31%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,718,153545406,3440,735241640
,Mongolia,Micro,,,24165,,,,,,,,,,,,,,,,,1753,42360701,,
,Mongolia,Very Small,,,10357,58%,23%,46%,61%,39%,15%,24%,49%,12%,21%,,24%,86%,6%,3%,5%,2547,26377367,6382,66098075
,Mongolia,Small,,,3164,62%,34%,56%,70%,35%,9%,21%,62%,8%,19%,,19%,93%,3%,1%,3%,13953,44153265,31948,101099932
,Mongolia,Medium,,,97,60%,37%,62%,74%,39%,13%,13%,60%,14%,19%,,21%,92%,4%,0%,4%,105440,10255025,322862,31401493
,Montenegro,Informal,,,12784,40%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,8003,102314661,8576,109631585
,Montenegro,Micro,,,16657,,,,,,,,,,,,,,,,,11982,199584636,7319,121905491
,Montenegro,Very Small,,,4164,80%,32%,50%,60%,7%,10%,30%,33%,27%,18%,,21%,73%,7%,13%,7%,33154,138060245,11521,47975152
,Montenegro,Small,,,2083,88%,35%,61%,75%,10%,5%,20%,37%,37%,12%,,11%,83%,11%,3%,3%,146430,305014465,37546,78208944
,Montenegro,Medium,,,428,90%,45%,71%,81%,14%,10%,10%,48%,33%,12%,,16%,86%,14%,0%,0%,451702,193328335,107435,45982146
,Morocco,Informal,,,1380631,46%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,2210,3051156344,4786,6607937914
,Morocco,Micro,,,623613,,,,,,,,,,,,,,,,,5217,3253105555,4136,2579470507
,Morocco,Very Small,,,110049,90%,70%,35%,75%,37%,20%,5%,59%,16%,14%,50.5,0%,68%,0%,32%,0%,5539,609529331,2949,324548205
,Morocco,Small,,,14123,85%,78%,26%,81%,35%,12%,7%,63%,17%,16%,55.39,14%,93%,2%,4%,1%,20905,295238879,15127,213632475
,Morocco,Medium,,,2417,87%,85%,39%,87%,28%,9%,4%,61%,26%,12%,52.61,14%,95%,2%,0%,3%,136335,329522431,95681,231260856
,Switzerland,Informal,,,143293,,,,,,,,,,,,,,,,,,,,
,Mozambique,Informal,,,513326,33%,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,350,179701991,168,86227070
,Mozambique,Micro,,,18564,,,,,,,,,,,,,,,,,1059,19657761,183,3402180
,Mozambique,Very Small,,,2063,65%,6%,9%,13%,57%,10%,77%,10%,3%,15%,15.48,65%,84%,0%,16%,0%,1895,3908993,260,535549
,Mozambique,Small,,,1824,84%,14%,12%,21%,47%,20%,59%,12%,9%,11%,21.06,29%,75%,9%,17%,0%,12149,22159036,959,1748859
,Mozambique,Medium,,,434,84%,35%,24%,47%,45%,20%,33%,37%,10%,22%,11.01,6%,96%,0%,0%,4%,47489,20629279,5518,2396912
,Namibia,Informal,,,70818,49%,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,2475,175300456,899,63689275
,Namibia,Micro,,,19621,,,,,,,,,,,,,,,,,5990,117526199,1037,20340327
,Namibia,Very Small,,,2180,98%,39%,25%,50%,23%,35%,15%,29%,21%,21%,45.83,40%,92%,8%,0%,0%,5872,12802262,137,298127
,Namibia,Small,,,6444,99%,59%,25%,63%,15%,29%,8%,28%,34%,15%,58.18,27%,94%,3%,0%,3%,13715,88382341,297,1913909
,Namibia,Medium,,,1761,96%,74%,37%,78%,19%,19%,4%,33%,44%,16%,65.61,23%,100%,0%,0%,0%,154550,272115925,0,0
,Nepal,Informal,,,1258880,23%,34%,34%,34%,,33%,33%,24%,10%,,,,0%,0%,0%,100%,852,1072901354,1593,2005292925
,Nepal,Micro,,,32753,,,,,,,,,,,,,,,,,1344,44013489,1573,51535569
,Nepal,Very Small,,,10918,76%,20%,38%,44%,5%,38%,17%,33%,11%,25%,,,62%,7%,31%,0%,2564,27987811,1932,21097327
,Nepal,Small,,,2667,90%,41%,48%,60%,9%,30%,10%,44%,16%,23%,,,72%,12%,15%,1%,8370,22321956,2686,7164024
,Nepal,Medium,,,621,98%,73%,71%,84%,4%,14%,2%,59%,24%,22%,,,94%,6%,0%,0%,58985,36629446,3196,1985020
,Netherlands,Informal,,,315244,,,,,,,,,,,,,,,,,,,,
,Netherlands,Micro,,,337425,,,,,,,,,,,,,,,,,,,,
,Netherlands,Very Small,,,144611,,,,,,,,,,,,,,,,,,,,
,Netherlands,Small,,,48300,,,,,,,,,,,,,,,,,,,,
,Netherlands,Medium,,,8405,,,,,,,,,,,,,,,,,,,,
,New Zealand,Informal,,,39231,,,,,,,,,,,,,,,,,,,,
,New Zealand,Micro,,,84230,,,,,,,,,,,,,,,,,,,,
,New Zealand,Very Small,,,36099,,,,,,,,,,,,,,,,,,,,
,New Zealand,Small,,,26524,,,,,,,,,,,,,,,,,,,,
,New Zealand,Medium,,,1534,,,,,,,,,,,,,,,,,,,,
,Nicaragua,Informal,,,504803,38%,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,1832,924846128,1049,529730091
,Nicaragua,Micro,,,83992,,,,,,,,,,,,,,,,,4334,364027198,228,19141390
,Nicaragua,Very Small,,,14822,77%,19%,40%,48%,24%,37%,15%,32%,16%,17%,,,72%,0%,25%,3%,4660,69067437,1405,20828352
,Nicaragua,Small,,,10822,92%,31%,42%,54%,17%,26%,20%,31%,23%,14%,,,86%,4%,7%,3%,43255,468097126,4107,44444621
,Nicaragua,Medium,,,1920,97%,56%,60%,74%,17%,16%,10%,41%,33%,11%,,,95%,0%,0%,5%,304102,583853906,10674,20494113
,Niger,Informal,,,475489,,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,2977,1415355687,1309,622591752
,Niger,Micro,,,131738,,,,,,,,,,,,,,,,,6913,910699222,1196,157615241
,Niger,Very Small,,,14638,91%,44%,19%,45%,63%,11%,45%,30%,15%,28%,,,100%,0%,0%,0%,16838,246473354,1446,21163923
,Niger,Small,,,43268,99%,84%,49%,86%,45%,5%,9%,62%,23%,15%,,,97%,0%,3%,0%,53206,2302117132,2846,123152397
,Niger,Medium,,,11822,100%,100%,57%,100%,48%,0%,0%,81%,19%,14%,,,100%,0%,0%,0%,263350,3113275895,7627,90162793
,Nigeria,Informal,,,6496996,,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,481,3126020452,225,1460621903
,Nigeria,Micro,,,1447200,,,,,,,,,,,,,,,,,1502,2174152919,268,387196273
,Nigeria,Very Small,,,160800,,5%,2%,6%,,17%,77%,4%,2%,20%,,,,,,,2536,407790537,202,32484733
,Nigeria,Small,,,1040000,,10%,6%,12%,,19%,69%,9%,4%,15%,,,,,,,10621,11045885189,547,568528283
,Nigeria,Medium,,,336000,,20%,10%,23%,,49%,28%,16%,7%,24%,,,,,,,32422,10893658146,1009,338952043
,Norway,Informal,,,89797,,,,,,,,,,,,,,,,,,,,
,Norway,Micro,,,160357,,,,,,,,,,,,,,,,,,,,
,Norway,Very Small,,,68725,,,,,,,,,,,,,,,,,,,,
,Norway,Small,,,18249,,,,,,,,,,,,,,,,,,,,
,Oman,Informal,,,81998,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,8584,703851620,1301,106682842
,Oman,Micro,,,7170,,,,,,,,,,,,,,,,,20262,145270509,972,6971097
,Oman,Very Small,,,1265,,,,,,,,,,,,,,,,,25163,31837907,1681,2127364
,Oman,Small,,,1301,,,,,,,,,,,,,,,,,98705,128414985,5447,7087089
,Oman,Medium,,,629,,,,,,,,,,,,,,,,,715575,450096388,20796,13080600
,Pakistan,Informal,,,6168085,27%,7%,9%,14%,,47%,40%,10%,4%,,,,,,,,865,5334256051,710,4381029826
,Pakistan,Micro,,,2163113,55%,3%,3%,5%,8%,57%,38%,3%,3%,,36,0%,100%,0%,0%,0%,1773,3835760138,1012,2189740256
,Pakistan,Very Small,,,721038,53%,6%,2%,7%,19%,51%,42%,5%,2%,19%,17.67,0%,100%,0%,0%,0%,3193,2302217969,1697,1223368607
,Pakistan,Small,,,26182,82%,19%,9%,22%,22%,42%,35%,16%,6%,21%,27.4,14%,94%,5%,1%,0%,15249,399244229,2817,73752371
,Pakistan,Medium,,,1418,97%,52%,35%,58%,13%,25%,17%,28%,30%,16%,31.5,8%,88%,10%,2%,0%,142380,201894222,7599,10775324
,Palestine,Informal,,,177691,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,1510,268273061,229,40662167
,Palestine,Micro,,,54846,,,,,,,,,,,,,,,,,3564,195459177,171,9379501
,Palestine,Very Small,,,9679,,,,,,,,,,,,,,,,,4426,42837402,296,2862335
,Palestine,Small,,,10223,,,,,,,,,,,,,,,,,17361,177485553,958,9795242
,Palestine,Medium,,,5266,,,,,,,,,,,,,,,,,125861,662781629,3658,19261610
,Panama,Informal,,,223308,38%,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,3226,720446370,1831,408817548
,Panama,Micro,,,28075,,,,,,,,,,,,,,,,,9762,274073126,517,14504875
,Panama,Very Small,,,4954,80%,41%,15%,48%,0%,36%,17%,24%,24%,13%,,,95%,5%,0%,0%,6045,29949020,1684,8342434
,Panama,Small,,,5274,69%,49%,17%,53%,4%,27%,20%,34%,19%,22%,,,96%,0%,0%,4%,19836,104614839,6673,35194569
,Panama,Medium,,,1333,61%,57%,14%,58%,1%,14%,28%,34%,24%,19%,,,97%,0%,3%,0%,229637,306105649,80687,107555480
,Papua New Guinea,Informal,,,526186,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,2023,1064656296,9867,5191749136
,Papua New Guinea,Micro,,,59484,,,,,,,,,,,,,,,,,4983,296433190,,
,Papua New Guinea,Very Small,,,25493,,,,,,,,,,,,,,,,,9361,238645702,22426,571713583
,Papua New Guinea,Small,,,7789,,,,,,,,,,,,,,,,,23002,179171520,19284,150212453
,Papua New Guinea,Medium,,,239,,,,,,,,,,,,,,,,,148693,35598416,67861,16246581
,Paraguay,Informal,,,591366,38%,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,3562,2106446981,2035,1203649977
,Paraguay,Micro,,,454003,,,,,,,,,,,,,,,,,4349,1974654366,232,105207991
,Paraguay,Very Small,,,80118,76%,57%,45%,70%,28%,13%,17%,45%,25%,9%,,,65%,0%,35%,0%,14604,1170041229,3779,302792553
,Paraguay,Small,,,11788,94%,77%,61%,89%,19%,5%,6%,56%,34%,11%,,,83%,0%,16%,1%,51525,607377056,3982,46939477
,Paraguay,Medium,,,2091,96%,76%,69%,86%,15%,8%,6%,49%,37%,11%,,,91%,1%,8%,0%,236552,494711639,14049,29382205
,Peru,Informal,,,1685631,8%,25%,25%,25%,33%,36%,38%,13%,13%,,,,31%,0%,49%,21%,3793,6392878188,3202,5396984693
,Sudan,Medium,,,53187,,,,,,,,,,,,,,,,,127648,6789132085,3710,197304224
,Peru,Micro,,,567129,73%,31%,54%,62%,27%,8%,31%,46%,15%,16%,,,94%,0%,6%,0%,13648,7739919176,3168,1796935959
,Peru,Very Small,,,100082,84%,32%,56%,66%,12%,16%,19%,46%,19%,15%,,,82%,4%,14%,0%,10682,1069041915,1705,170666048
,Peru,Small,,,15210,97%,68%,79%,88%,15%,4%,8%,61%,27%,10%,,,98%,0%,2%,0%,74277,1129757825,2500,38028217
,Peru,Medium,,,3242,98%,80%,88%,93%,8%,3%,4%,61%,32%,12%,,,99%,0%,1%,0%,365315,1184352102,10164,32952262
,Philippines,Informal,,,3269292,48%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,2201,7195024532,2646,8649661196
,Philippines,Micro,,,403307,,,,,,,,,,,,,,,,,6154,2481945499,,
,Philippines,Very Small,,,172846,95%,16%,21%,29%,12%,49%,22%,17%,12%,19%,,,91%,0%,9%,0%,4204,726616588,719,124239927
,Philippines,Small,,,45951,98%,23%,35%,43%,13%,38%,19%,26%,17%,20%,,,91%,6%,3%,0%,21591,992154668,1432,65807763
,Philippines,Medium,,,2271,99%,33%,53%,60%,9%,29%,11%,31%,29%,18%,,,95%,3%,2%,0%,136971,311088019,3042,6909696
,Poland,Informal,,,656322,47%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,6899,4527722010,6589,4324596716
,Poland,Micro,,,1139536,89%,31%,24%,33%,26%,42%,25%,27%,7%,14%,,10%,49%,51%,0%,0%,9672,11021457491,2217,2525859272
,Poland,Very Small,,,284884,98%,43%,46%,56%,22%,32%,12%,46%,11%,13%,,12%,63%,35%,0%,2%,23564,6713133543,1362,388121050
,Poland,Small,,,41902,97%,58%,53%,69%,23%,22%,8%,53%,16%,9%,,14%,66%,32%,0%,3%,90920,3809746202,5510,230878978
,Poland,Medium,,,15295,97%,73%,62%,75%,25%,20%,6%,66%,9%,7%,,12%,66%,31%,3%,0%,785400,12012700032,52357,800797628
,Portugal,Informal,,,202520,,,,,,,,,,,,,,,,,,,,
,Portugal,Micro,,,573799,,,,,,,,,,,,,,,,,,,,
,Portugal,Very Small,,,245914,,,,,,,,,,,,,,,,,,,,
,Portugal,Small,,,40694,,,,,,,,,,,,,,,,,,,,
,Qatar,Informal,,,48865,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,36153,1766618929,5480,267766561
,Qatar,Micro,,,5060,,,,,,,,,,,,,,,,,85338,431846592,4095,20723026
,Qatar,Very Small,,,893,,,,,,,,,,,,,,,,,105983,94644755,7082,6324030
,Qatar,Small,,,2811,,,,,,,,,,,,,,,,,415725,1168769375,22943,64503158
,Qatar,Medium,,,1448,,,,,,,,,,,,,,,,,3013860,4364517889,87588,126840634
,Republic of Korea,Informal,,,3946396,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,16960,66931118540,82705,326386626536
,Republic of Korea,Micro,,,446126,,,,,,,,,,,,,,,,,41772,18635690259,,
,Republic of Korea,Very Small,,,191197,,,,,,,,,,,,,,,,,78468,15002798418,187982,35941580132
,Republic of Korea,Small,,,58421,,,,,,,,,,,,,,,,,192805,11263870125,161642,9443317585
,Republic of Korea,Medium,,,1796,,,,,,,,,,,,,,,,,1246373,2237944577,568826,1021364227
,Romania,Informal,,,639349,26%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,4658,2978304005,6167,3942827918
,Romania,Micro,,,334377,,,,,,,,,,,,,,,,,8278,2767822525,4716,1577031155
,Romania,Very Small,,,83594,50%,32%,28%,36%,44%,40%,24%,31%,4%,38%,,16%,90%,5%,5%,0%,15771,1318360859,15767,1318039755
,Romania,Small,,,45108,49%,53%,56%,62%,37%,27%,11%,51%,11%,10%,,13%,88%,4%,6%,1%,58869,2655476594,65015,2932700251
,Romania,Medium,,,9481,52%,65%,68%,73%,28%,20%,6%,46%,27%,12%,,5%,94%,4%,2%,0%,217731,2064303821,269571,2555804479
,Russia,Informal,,,2243305,47%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,6569,14736825494,18634,41800957886
,Russia,Micro,,,852013,,,,,,,,,,,,,,,,,10140,8639696327,19564,16668477143
,Russia,Very Small,,,213003,94%,22%,12%,28%,47%,35%,37%,22%,5%,13%,,24%,85%,15%,0%,0%,27440,5844739357,8255,1758287776
,Russia,Small,,,282651,95%,33%,27%,43%,42%,24%,32%,34%,9%,12%,,29%,59%,30%,9%,1%,55058,15562184746,12382,3499795917
,Russia,Medium,,,14170,97%,52%,54%,71%,45%,13%,16%,56%,15%,10%,,17%,66%,30%,3%,2%,355955,5043885723,53318,755522186
,Rwanda,Informal,,,180182,37%,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,557,100383152,249,44906669
,Rwanda,Micro,,,15120,,,,,,,,,,,,,,,,,1685,25479565,292,4409763
,Rwanda,Very Small,,,1680,73%,20%,18%,23%,34%,14%,63%,17%,6%,21%,25.47,37%,95%,0%,5%,0%,2580,4334400,263,441945
,Rwanda,Small,,,33600,84%,39%,44%,51%,34%,21%,28%,33%,18%,27%,36.47,13%,95%,2%,2%,0%,5340,179438506,695,23354279
,Rwanda,Medium,,,192,,,,,,,,,,,,,,,,,70230,13484249,2061,395687
,Saint Lucia,Informal,,,13064,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,7246,94663836,4275,55850790
,Saint Lucia,Micro,,,4267,,,,,,,,,,,,,,,,,19853,84722754,1051,4483814
,Saint Lucia,Very Small,,,753,,,,,,,,,,,,,,,,,20549,15474793,4972,3744111
,Saint Lucia,Small,,,386,,,,,,,,,,,,,,,,,74727,28881594,7550,2918100
,Saint Lucia,Medium,,,69,,,,,,,,,,,,,,,,,498542,34184393,52105,3572759
,Saint Vincent and the Grenadines,Informal,,,6532,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,6037,39435839,3562,23266781
,Saint Vincent and the Grenadines,Micro,,,2134,,,,,,,,,,,,,,,,,16541,35294501,875,1867904
,Saint Vincent and the Grenadines,Very Small,,,377,,,,,,,,,,,,,,,,,17121,6446617,4142,1559752
,Saint Vincent and the Grenadines,Small,,,193,,,,,,,,,,,,,,,,,62261,12031732,6291,1215646
,Saint Vincent and the Grenadines,Medium,,,34,,,,,,,,,,,,,,,,,415373,14240815,43412,1488369
,Samoa,Informal,,,16443,47%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,5614,92306312,20404,335515297
,Samoa,Micro,,,179,,,,,,,,,,,,,,,,,15050,2688455,,
,Samoa,Very Small,,,77,97%,52%,43%,70%,6%,12%,19%,48%,21%,22%,,,93%,0%,0%,7%,16460,1260206,2037,155978
,Samoa,Small,,,110,97%,71%,53%,77%,24%,10%,14%,58%,19%,15%,,,100%,0%,0%,0%,27565,3043147,5426,599077
,Samoa,Medium,,,56,,,,,,,,,,,,,,,,,262358,14692050,119736,6705231
,Sao Tome and Principe,Informal,,,6745,,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,1390,9375070,611,4123939
,Sao Tome and Principe,Micro,,,1869,,,,,,,,,,,,,,,,,3807,7114014,659,1231226
,Sao Tome and Principe,Very Small,,,208,,,,,,,,,,,,,,,,,6985,1450178,600,124522
,Sao Tome and Principe,Small,,,614,,,,,,,,,,,,,,,,,22616,13880352,1210,742533
,Sao Tome and Principe,Medium,,,168,,,,,,,,,,,,,,,,,89082,14937780,2580,432609
,Saudi Arabia,Informal,,,1097241,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,9556,10485235418,138,151818780
,Saudi Arabia,Micro,,,130581,,,,,,,,,,,,,,,,,22557,2945452673,103,13502356
,Saudi Arabia,Very Small,,,23044,,,,,,,,,,,,,,,,,28013,645533976,179,4120504
,Saudi Arabia,Small,,,361689,,,,,,,,,,,,,,,,,109885,39744094556,579,209535984
,Saudi Arabia,Medium,,,230437,,,,,,,,,,,,,,,,,796625,183571738303,2212,509637992
,Senegal,Informal,,,401299,39%,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,476,191020969,206,82547423
,Senegal,Micro,,,111183,,,,,,,,,,,,,,,,,970,107874289,168,18669866
,Senegal,Very Small,,,12354,79%,8%,9%,13%,54%,16%,71%,11%,3%,15%,28.42,49%,58%,4%,35%,4%,3198,39509995,289,3574772
,Senegal,Small,,,36517,89%,20%,14%,25%,41%,24%,52%,18%,7%,12%,25.79,50%,58%,0%,40%,2%,11239,410400322,690,25212036
,Senegal,Medium,,,9977,100%,52%,41%,59%,28%,10%,31%,41%,17%,14%,34.8,19%,88%,0%,12%,0%,155946,1555919341,0,0
,Serbia,Informal,,,208808,50%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,7111,1484875368,6350,1325887206
,Serbia,Micro,,,55388,100%,54%,41%,59%,27%,18%,23%,55%,5%,14%,,30%,100%,0%,0%,0%,6971,386100692,0,0
,Serbia,Very Small,,,13847,100%,67%,52%,76%,21%,13%,11%,48%,28%,12%,,23%,89%,9%,0%,3%,28752,398128017,0,0
,Serbia,Small,,,9421,100%,61%,74%,85%,35%,9%,6%,69%,16%,10%,,9%,81%,15%,2%,2%,94239,887826809,0,0
,Serbia,Medium,,,2350,99%,58%,76%,86%,29%,8%,7%,65%,21%,9%,,22%,67%,23%,8%,2%,400880,942068176,9254,21746226
,Sierra Leone,Informal,,,182102,,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,402,73207315,177,32202697
,Sierra Leone,Micro,,,50453,,,,,,,,,,,,,,,,,1216,61350222,210,10617918
,Sierra Leone,Very Small,,,5606,50%,20%,10%,21%,44%,16%,64%,19%,1%,,4.57,30%,,,,,1846,10346118,158,888390
,Sierra Leone,Small,,,16571,81%,63%,20%,64%,32%,7%,28%,54%,10%,,8.33,22%,,,,,4182,69300106,224,3707228
,Sierra Leone,Medium,,,4528,,,,,,,,,,,,,,,,,37945,171796818,1099,4975364
,Singapore,Informal,,,369975,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,28854,10675364969,140707,52057943081
,Singapore,Micro,,,85648,,,,,,,,,,,,,,,,,71067,6086807824,,
,Singapore,Very Small,,,36706,,,,,,,,,,,,,,,,,133498,4900229050,319815,11739274912
,Singapore,Small,,,5477,,,,,,,,,,,,,,,,,328021,1796562304,275004,1506188212
,Singapore,Medium,,,168,,,,,,,,,,,,,,,,,2120467,356947197,967749,162905329
,Slovakia,Informal,,,115057,8%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,8046,925747404,13168,1515067752
,Slovakia,Micro,,,34794,,,,,,,,,,,,,,,,,13004,452468460,7796,271247543
,Slovakia,Very Small,,,8698,18%,50%,33%,63%,21%,28%,9%,45%,18%,20%,,68%,71%,18%,11%,0%,22726,197680902,47497,413146913
,Slovakia,Small,,,13641,15%,58%,49%,74%,16%,18%,8%,58%,16%,16%,,6%,79%,13%,0%,8%,85236,1162705735,156318,2132340362
,Slovakia,Medium,,,2106,26%,63%,55%,77%,10%,22%,1%,60%,17%,12%,,10%,84%,14%,2%,0%,377227,794440149,732265,1542149443
,Slovenia,Informal,,,48242,50%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,24466,1180285077,21847,1053909922
,Slovenia,Micro,,,74336,,,,,,,,,,,,,,,,,49885,3708231754,28423,2112851151
,Slovenia,Very Small,,,18584,100%,60%,65%,80%,13%,16%,4%,51%,29%,12%,,4%,38%,57%,6%,0%,54975,1021653309,0,0
